dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
OULAD,0,Boruta,0,0.7000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,0.8000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,0.9000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,1.0000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,1,IC-FS(full),42,0.3000,0,1,4,0,5,73.6111,0.4400,32.3889
OULAD,1,IC-FS(full),42,0.5000,0,1,4,0,5,73.6111,0.6000,44.1666
OULAD,1,IC-FS(full),42,0.6000,0,1,4,0,5,73.6111,0.6800,50.0555
OULAD,1,IC-FS(full),42,0.7000,0,1,4,0,5,73.6111,0.7600,55.9444
OULAD,1,IC-FS(full),42,0.8000,0,1,4,0,5,73.6111,0.8400,61.8333
OULAD,1,IC-FS(full),42,0.9000,0,1,4,0,5,73.6111,0.9200,67.7222
OULAD,1,IC-FS(full),42,1.0000,0,1,4,0,5,73.6111,1.0000,73.6111
OULAD,1,IC-FS(full),123,0.3000,0,1,4,0,5,73.6941,0.4400,32.4254
OULAD,1,IC-FS(full),123,0.5000,0,1,4,0,5,73.6941,0.6000,44.2164
OULAD,1,IC-FS(full),123,0.6000,0,1,4,0,5,73.6941,0.6800,50.1120
OULAD,1,IC-FS(full),123,0.7000,0,1,4,0,5,73.6941,0.7600,56.0075
OULAD,1,IC-FS(full),123,0.8000,0,1,4,0,5,73.6941,0.8400,61.9030
OULAD,1,IC-FS(full),123,0.9000,0,1,4,0,5,73.6941,0.9200,67.7985
OULAD,1,IC-FS(full),123,1.0000,0,1,4,0,5,73.6941,1.0000,73.6941
OULAD,1,IC-FS(full),456,0.3000,0,1,4,0,5,73.4274,0.4400,32.3081
OULAD,1,IC-FS(full),456,0.5000,0,1,4,0,5,73.4274,0.6000,44.0565
OULAD,1,IC-FS(full),456,0.6000,0,1,4,0,5,73.4274,0.6800,49.9307
OULAD,1,IC-FS(full),456,0.7000,0,1,4,0,5,73.4274,0.7600,55.8049
OULAD,1,IC-FS(full),456,0.8000,0,1,4,0,5,73.4274,0.8400,61.6791
OULAD,1,IC-FS(full),456,0.9000,0,1,4,0,5,73.4274,0.9200,67.5533
OULAD,1,IC-FS(full),456,1.0000,0,1,4,0,5,73.4274,1.0000,73.4274
OULAD,1,IC-FS(full),789,0.3000,0,1,4,0,5,73.7791,0.4400,32.4628
OULAD,1,IC-FS(full),789,0.5000,0,1,4,0,5,73.7791,0.6000,44.2674
OULAD,1,IC-FS(full),789,0.6000,0,1,4,0,5,73.7791,0.6800,50.1698
OULAD,1,IC-FS(full),789,0.7000,0,1,4,0,5,73.7791,0.7600,56.0721
OULAD,1,IC-FS(full),789,0.8000,0,1,4,0,5,73.7791,0.8400,61.9744
OULAD,1,IC-FS(full),789,0.9000,0,1,4,0,5,73.7791,0.9200,67.8767
OULAD,1,IC-FS(full),789,1.0000,0,1,4,0,5,73.7791,1.0000,73.7791
OULAD,1,IC-FS(full),1011,0.3000,0,1,4,0,5,72.8743,0.4400,32.0647
OULAD,1,IC-FS(full),1011,0.5000,0,1,4,0,5,72.8743,0.6000,43.7246
OULAD,1,IC-FS(full),1011,0.6000,0,1,4,0,5,72.8743,0.6800,49.5545
OULAD,1,IC-FS(full),1011,0.7000,0,1,4,0,5,72.8743,0.7600,55.3845
OULAD,1,IC-FS(full),1011,0.8000,0,1,4,0,5,72.8743,0.8400,61.2144
OULAD,1,IC-FS(full),1011,0.9000,0,1,4,0,5,72.8743,0.9200,67.0444
OULAD,1,IC-FS(full),1011,1.0000,0,1,4,0,5,72.8743,1.0000,72.8743
OULAD,1,IC-FS(full),2024,0.3000,0,1,4,0,5,73.7333,0.4400,32.4426
OULAD,1,IC-FS(full),2024,0.5000,0,1,4,0,5,73.7333,0.6000,44.2400
OULAD,1,IC-FS(full),2024,0.6000,0,1,4,0,5,73.7333,0.6800,50.1386
